category,subcategory,component,method,cost,cost_units,quantity,quantity_units,useful_life,remaining_useful_life,notes,B6_category
Roofing,Shingle,Clubhouse Roof,Repeating,12.0,$/SF,4500,SF,25,2:06,Source page: 93,Sloped Roofs
Roofing,Shingle,Unit Building Shingle Roofs,Repeating,12.0,$/SF,20000,SF,30,0:06,Source page: 152,Sloped Roofs
Roofing,Shingle,Unit Building Shingle Roofs,Repeating,12.0,$/SF,20000,SF,30,1:06,Source page: 152,Sloped Roofs
Roofing,Shingle,Unit Building Shingle Roofs,Repeating,12.0,$/SF,20000,SF,30,2:06,Source page: 152,Sloped Roofs
Roofing,Shingle,Unit Building Shingle Roofs,Repeating,12.0,$/SF,20000,SF,30,3:06,Source page: 152,Sloped Roofs
Roofing,Shingle,Unit Building Shingle Roofs,Repeating,12.0,$/SF,20000,SF,30,4:06,Source page: 152,Sloped Roofs
Signage,Misc,Misc and Parking Signs,Repeating,1000.0,Allow,1,Allow,5,3:06,Source page: 122,Other
Signage,Monument,Monument Sign/Wall,Repeating,2000.0,Allow,1,Allow,15,5:06,Source page: 123,Other
Signage,Numbers,Building Signs/Numbers,Repeating,2000.0,Allow,1,Allow,5,0:06,Source page: 65,Other
Structural,Metal,Carport Support Posts-Beams,Repeating,5000.0,Allow,1,Allow,10,2:06,Source page: 69,Carports
Structural,Renovation,Trash Enclosures,Repeating,7500.0,Allow,1,Allow,5,0:06,Source page: 150,Other
